2.82,0.0039829723,3262113
48.95,-0.0040616276,2096512
47.62,-0.0014015491,2194070
61.35,0.0144889302,3625857
57.97,-0.0035158891,4270625
66.07,0.0084553796,3126051
44.76,-0.022058443,5145578
58.49,0.0145327914,3939347
59.84,0.0014084654,3972089
70.67,0.0112831305,2642217
71.54,0.0008962881,2415594
80.35,0.0090680775,2463052
93.38,0.0132911715,4822032
95.78,0.0024159939,3469154
96.7,0.0009238989,3263069
94.62,-0.0020868867,3913115
5.95,0.0013371941,2454841
06.73,0.0108238365,3752328
11.34,0.0045791821,2719859
03,-0.0082464849,3346432
10.07,0.0070488534,2823041
10.27,0.0001980061,2767857
8.31,-0.0316351074,7647692
64.91,-0.0136970899,9447233
80.79,0.0164574934,4580011
76.47,-0.0044046126,3974900
64.17,-0.0125963931,5373865
87.71,0.0244147816,11472662
95.17,0.0075528242,5043408
92.59,-0.0025925219,4076828
002.23,0.0097119657,2922473
001.3,-0.0009279307,2253433
003.74,0.0024368321,2879145
93.98,-0.0097236336,3386157
76.78,-0.0173041711,3782389
90.33,0.0138721104,3737567
75.93,-0.0145406077,4302968
68,-0.0081255828,3390345
3.66,-0.0148140496,2909108
1.4,0.0186020175,3652955
5.14,-0.0064443072,3259613
8.76,0.0141119423,2643387
96.47,0.0180943234,3546268
94.13,-0.0023482895,2982726
006.51,0.0124530997,3608574
000.63,-0.0058419688,2880769
001.81,0.0011792571,2102469
010.04,0.0082151306,3712587
024.45,0.0142667617,4007624
026.87,0.0023622432,2963964
028.7,0.0017821146,3097487
025.67,-0.0029454652,2734577
038.95,0.0129476342,3288020
039.87,0.0008855094,2447629
052.8,0.0124342466,2921253
046,-0.0064589666,10991715
020.04,-0.0248183556,7709420
87.78,-0.0316262107,7352063
6.19,0.0085140416,4572576
5.89,-0.0003011474,4069993
6.92,-0.0090070188,3255764
7.58,0.0006687472,2730308
2.27,0.0047489824,2676607
9.84,-0.0024489302,2902815
2.01,-0.0079103694,3569731
56.92,-0.025549638,5684068
67.99,0.0115683652,3468017
83.3,0.0158162791,3172892
82.74,-0.0005695108,2549295
78.18,-0.0046400879,3132066
60.57,-0.0180028216,3512397
58.47,-0.0021862019,3284821
53.29,-0.0054044467,3164483
66.9,0.0142768727,2749970
58,-0.0092046747,2668264
52.45,-0.0057933194,5195726
45.26,-0.0075489527,3324791
46.02,0.0008040116,2596737
54.06,0.0084987632,2874299
67.59,0.014181498,2904604
80.6,0.0134457777,3331488
8.25,-0.0023964919,2535917
5.27,-0.0132685919,2998649
7.8,0.0026210283,2129861
9.47,0.0120582765,2566794
5.9,-0.0138544315,2605322
77.96,0.0124857646,2186666
82.58,0.0047241196,2481066
99.6,0.0173217448,3374650
92.21,-0.0073929572,3913263
86.79,-0.0054625533,3760183
74.19,-0.0127686742,3411324
69.86,-0.0044447182,2671054
73.21,0.0034541068,2888795
64.65,-0.0087956351,2337576
55.1,-0.0098999637,2641787
39.79,-0.0160297351,5123997
38.6,-0.0012662403,3564848
50.87,0.0130726614,3148933
56.4,0.0058157267,2522567
61.35,0.0051756587,2543759
59.19,-0.0022468404,2442937
57.1,-0.0021789218,2666574
65.45,0.0087242712,2527352
80.85,0.0159511109,3229224
89.58,0.0089004435,3782067
90.99,0.0014248469,2938586
987.2,-0.0038244584,3084921
995,0.0079011345,2337113
1000.93,0.005959799,4067317
1002.94,0.0020081324,2431462
1006.34,0.0033900333,2008908
1009.13,0.0027724228,2319742
997,-0.0120202551,2499681
986.61,-0.0104212638,3108197
982.91,-0.0037502154,2365122
966.3,-0.0168988005,3494100
975.9,0.0099348029,2723935
972.91,-0.0030638385,3033113
972.43,-0.0004933653,5618675
